Wavelength_nm,-15.0V,-14.0V,-13.0V,-12.0V,-11.0V,-7.9V,-4.0V,-1.0V
900,0.15692778783215294,0.1587190115770682,0.15417753265171744,0.15356855397667268,0.15174848853386433,0.13116172012797736,0.09585658321279668,0.059476935684624636
901,0.15773550432723898,0.1595789643420009,0.15489544962315271,0.1542915557574156,0.1524106611679153,0.1316448376952368,0.0958558455134727,0.05911757536366693
902,0.15915733637477614,0.1610898330600503,0.15616505463281843,0.1555671247727079,0.15358388162625805,0.13250701059262793,0.09586861696980215,0.05851724305972837
903,0.16091234057029408,0.1629477665900379,0.1577458069977325,0.15714861626968685,0.1550500104597883,0.13359842036002167,0.09591968347122493,0.05785275383410629
904,0.1627613312411531,0.16489294498179258,0.15943443723019657,0.15882756149593785,0.15662592535927283,0.13479416939297062,0.09603930376790826,0.05728581349015893
905,0.16457758179024629,0.16678575660698872,0.16112586881827984,0.16049612498086296,0.15821908033497417,0.13603266163184702,0.09625931174002508,0.056921376428461436
906,0.16634470798829754,0.16860475776447537,0.16281107181871735,0.16214491268149572,0.15982529147375876,0.13731389019118878,0.09661128865459,0.05680652013331644
907,0.16811833111241242,0.1704056708162709,0.16454362054841234,0.163828697732327,0.1614979132822273,0.138677912773653,0.09712621490322265,0.05695002171258708
908,0.16998899037810392,0.17228165157416928,0.16640743085252563,0.16563335273657864,0.1633181728561766,0.140184185339571,0.09783467443691748,0.0573419569401432
909,0.17206034787126084,0.17433992691995198,0.16849781775432765,0.16765643433115107,0.16537776591196035,0.1418994474981086,0.09876707939817164,0.05796534541054791
910,0.1744399783817256,0.17669191970609321,0.17091349430507857,0.16999898211440106,0.16777150821431955,0.1438926092509075,0.09995378623112772,0.05880109739765402
911,0.1772363958284357,0.17945006002706426,0.17375398898850258,0.17276287150256553,0.17059496411739747,0.14623310126695,0.10142513698232547,0.059829615634785144
912,0.18055828500268534,0.1827269614492002,0.17711897839095836,0.17605012971768752,0.1739438336661081,0.14899044864121838,0.10321146907390585,0.06103120801121531
913,0.18451432223426412,0.18663522976887725,0.18110813009477367,0.17996277475321204,0.17791380689403907,0.15223416992812183,0.10534310720070286,0.06238617094313852
914,0.1892130329254792,0.1912873155227383,0.18582097223861072,0.18460268167492172,0.18260043697199319,0.15603369065121145,0.10785031318703181,0.06387480105718606
915,0.19476231812092049,0.19679502672464078,0.19135645641875926,0.19007113460121622,0.18809871150499277,0.16045805182874257,0.11076309117063285,0.06547739884140447
916,0.20126796567300229,0.2032679967098506,0.19781158288104725,0.19646741754520408,0.19450170390520655,0.16557499309522106,0.1141105731780169,0.06717427791684988
917,0.20882983725538734,0.2108097602040472,0.2052778795570588,0.20388520547902989,0.2018971194743454,0.17144860451990607,0.11791944551064662,0.06894578873443374
918,0.2175340169495285,0.2195096734615123,0.21383415196191768,0.21240513308659745,0.21036018335786394,0.17813449140914,0.12221070847842347,0.07077236736967474
919,0.22744003251605316,0.229429763720723,0.22353468314207856,0.2220826998850171,0.21994206518930826,0.18567190468135697,0.12699440263766337,0.07263461493963203
920,0.23856497368752566,0.24058838539565194,0.23439456829005226,0.23293323842239258,0.23065549296361537,0.19407396030649138,0.1322630544359421,0.07451339630566084
921,0.25086970690169885,0.2529460337070377,0.24637698523549503,0.24491886672451368,0.24246226593005693,0.20331914974511692,0.13798598708048976,0.07638992577367239
922,0.2642533514011195,0.2663996600610038,0.25938809354484493,0.2579432599924381,0.2552682508876117,0.21334793742151514,0.14410704109869582,0.07824580169694173
923,0.2785588269352415,0.2807883812013928,0.27328215699139646,0.2718569013443442,0.2689284075239159,0.2240661727432831,0.1505468655626856,0.08006297374021687
924,0.2935867378913718,0.2959077674716829,0.2878743626574105,0.2864702225745712,0.2832593653838963,0.23535361909152266,0.1572086561721227,0.08182366493399326
925,0.30911163536353015,0.3115265786387872,0.3029558310125725,0.301568994547569,0.29805415572218397,0.24707388607844588,0.16398489793999516,0.08351030280588789
926,0.32489599529906465,0.32740115060309205,0.3183065029086886,0.31692755284610974,0.3130948770571953,0.2590827775280095,0.1707632328293524,0.0851055340415259
927,0.3407011417586064,0.3432866412216503,0.33370517346576467,0.33231912504882183,0.3281625993396323,0.2712343517970254,0.17743122100079164,0.086592416633831
928,0.35629738521653004,0.35894747334730975,0.34893874519289203,0.34752540295224765,0.34304656719789495,0.2833857926381517,0.18388104631521524,0.08795489231992137
929,0.37147580625468635,0.374169477255046,0.36381293225575817,0.36234765736661584,0.3575549059736153,0.2954024319010885,0.19001522812917773,0.08917858482120908
930,0.3860615224240129,0.3887735632444558,0.3781642913522506,0.376619247408727,0.37152667902853576,0.3071631431253864,0.19575315127286366,0.09025180048151032
931,0.3999249166064171,0.4026272938263904,0.3918703992361683,0.39021620666679446,0.3848420932661284,0.3185648463409315,0.2010366155306434,0.09116639862394615
932,0.41298611535961327,0.41564949923544525,0.40485391154395367,0.4030614653235305,0.39742656959681166,0.32952430092426943,0.20583205092411266,0.09191814065334049
933,0.42521054011661163,0.4278056923214318,0.4170785312495942,0.41512065599632963,0.4092466992348699,0.33997634013242267,0.21012831462195214,0.09250634077021067
934,0.4365978015408575,0.4390966226503972,0.42853894445948226,0.426391643722284,0.4203001493375943,0.3498694800716837,0.2139311921045015,0.09293299485120854
935,0.4471689047955572,0.44954508977040786,0.43924922550895334,0.4368924635302786,0.430604033368767,0.35916096381095686,0.21725706203350842,0.0932017768768236
